Serial number;Keywords_1.1 Domain;Keywords_1.2 Potential AI Use Cases;Keywords_1.3 Data in the Domain;Keywords_1.4 Implications of Using AI;Keywords_1.5 Additional Learning Resources;Keywords_2.1 Learners and Their Interaction with AI;Keywords_2.2 Instructors;Keywords_2.3 Internal Support;Keywords_3.1 Learning Outcomes;Keywords_3.2 Assessment;Keywords_3.3 Learning Activities
1;"medical imaging; diagnostic accuracy; workflow efficiency; personalized care; image analysis; diagnostic precision; patient outcomes; healthcare costs; diagnostic services";"Tumor detection; fracture identification; anomaly highlighting; ALS diagnosis; cardiovascular assessment; disease progression prediction; radiation dose optimization; contrast agent optimization; image prioritization; automated reporting; image archiving.";"Medical images; structured data; image metadata; annotation data; AI algorithms; radiology; diagnostic models; image recognition; supervised learning; imaging modalities.";"Data privacy; algorithmic bias; AI transparency; regulatory compliance; AI liability; radiologist roles; diagnostic accessibility; patient trust; early diagnosis; job displacement.";"Medical image analysis; deep learning; AI models; scientific journals; online courses; open educational resources; AI tools; datasets.";"medical undergraduates; AI literacy; diagnostic tool utilization; radiology decision-making; AI collaboration.";"radiology PhD; AI-medical imaging; academic-industry experience; publication record; imaging modalities; AI concepts; practical applications; university-level teaching; pedagogical skills";"semester-long medical imaging course; anonymized radiology data; cloud-based AI platforms; interdisciplinary computer science collaboration; programming-skilled teaching assistant.";"Medical image analysis; AI applications in radiology; Automated tumor detection; Disease diagnosis; Data preprocessing; Model training; Ethical implications; AI algorithm interpretation; Domain-specific solutions.";"AI radiology assessment; diagnostic tools evaluation; medical image analysis; AI solution proposal; ethical considerations.";"AI radiology applications; clinical implementation challenges; AI-driven image analysis; hands-on AI labs; radiology-AI integration; patient care improvement; innovative AI solutions; medical AI skills."
2;"Aircraft design; spacecraft development; aerodynamic optimization; propulsion systems; structural analysis; flight control; data analysis; autonomous operations; space exploration.";"Predictive maintenance; autonomous navigation; fault diagnosis; satellite data analysis; aerodynamic optimization; manufacturing automation; mission planning.";"engine performance; structural integrity; satellite imagery; spacecraft telemetry; CFD simulations; FEA simulations; flight paths; maintenance logs; anomaly detection; predictive maintenance; visual analysis; earth observation; system status; performance prediction; fault diagnosis; flight planning; NLP";"Accountability; data privacy; AI bias; liability; international regulations; job displacement; efficiency; safety; predictive maintenance; AI malfunctions.";"aerospace AI research; ESA publications; AIAA conferences; MIT OpenCourseware; AI robotics courses; self-driving nanodegree; AI textbooks; aerospace engineering resources.";"Aerospace engineers; AI tool users; AI solution implementers; application developers; decision-makers; mathematics-physics background.";"Aerospace AI research; machine learning proficiency; Python programming (TensorFlow; PyTorch; scikit-learn); AI model implementation; data analysis; aerospace fundamentals; communication skills.";"budgetary allocation; teaching assistant support; semester timeframe; aerospace datasets; high-performance computing; AI development tools; interdisciplinary collaboration; institutional infrastructure.";"AI fundamentals; aerospace applications; predictive maintenance; autonomous navigation; fault detection; aerospace data processing; AI model design; ethical implications; AI-based solutions; technical communication.";"aerospace AI solutions; predictive maintenance; autonomous navigation; knowledge assessment; theoretical foundations.";"Aerospace AI applications; problem-centered learning; hands-on projects; industry expert lectures; AI algorithm implementation; knowledge integration; active learning; critical thinking; project-based learning."
3;"plant cultivation; animal rearing; AI-driven optimization; resource management; climate change mitigation; precision farming; sustainable practices.";"crop yield prediction; precision farming; pest-disease detection; soil quality monitoring; automated irrigation; livestock management; supply chain optimization; AI-driven agriculture; resource optimization; environmental impact reduction";"Multi-spectral imagery; soil moisture sensors; real-time weather patterns; historical yield data; soil chemical composition; livestock feeding patterns; market prices; agricultural landscape monitoring; proactive adaptation; machine learning models; optimized resource management; AI techniques.";"AI bias in agriculture; data privacy; smallholder impact; regulatory compliance; labor displacement; sustainable food production; corporate misuse.";"sustainable agriculture; AI in agriculture; precision agriculture; data science; online learning; academic journals; technology conferences";"agronomy education; AI integration; precision farming; sustainable practices; data-driven decisions; agricultural innovation";"precision agriculture; AI algorithms; agricultural systems; data analysis; sustainable farming; university-level teaching; image processing; soil management; agronomy; remote sensing.";"agricultural datasets; AI expertise; interdisciplinary teaching; cloud computing; domain-specific data; institutional support; sensor data; machine learning libraries.";"AI-agriculture integration; crop production; livestock management; resource optimization; agricultural data analysis; machine learning applications; GIS spatial analysis; ethical-legal-social implications; AI-driven solutions.";"agricultural datasets; AI-driven solutions; crop yield prediction; pest detection; soil quality monitoring; AI applications; literature review; methodologies; real-world problem-solving; practical skills; theoretical understanding";"AI-driven agricultural solutions; hands-on AI application; industry expert insights; activating prior knowledge; AI tool demonstrations; data-driven model building; AI integration into practices; theoretical foundations; collaborative application."
4;"visual arts; graphic design; product design; fashion design; architecture; aesthetic outputs; functional outputs; communicative outputs; AI integration; generative art; design automation; interactive art; personalized art; creative expression; artistic boundaries";"Generative AI Art; Style Transfer Aesthetics; Personalized Art Curation; Interactive AI Installations; Automated Design Workflows; AI-Driven 3D Modeling; Creative Tool Development.";"visual representations; time-based media; digital objects; aural content; artistic statements; technical documents; image generation; style transfer; 3D design; AI-generated music; natural language generation; targeted AI techniques";"AI-generated art; authorship; bias; copyright; democratization; human artistry; displacement.";"Creative Commons datasets; AI art tools; Coursera; Udemy; Kadenze; Deep Learning for Vision Systems; Generative Deep Learning; Ars Electronica; SIGGRAPH; AI Art Online; Processing; p5.js; TouchDesigner; ACM Digital Library; IEEE Xplore; r/MachineLearning; r/creativecoding; Discord AI art servers";"Art & Design Students; Practicing Artists; Interdisciplinary Learners; AI Integration; Visual Design; Creative Software; Artistic Practice; Design Processes; Critical Evaluation.";"AI-driven art education; digital art specialization; creative AI workflows; GANs/VAEs/CNNs proficiency; Python (TensorFlow/PyTorch); art/design principles; university-level teaching; diverse student engagement.";"Software licenses; AI training datasets; GPU access; Interdisciplinary support";"AI art generation; creative AI tools; style transfer; interactive installations; ethical AI assessment; collaborative AI projects.";"AI-driven art creation; generative design projects; collaborative installations; creative process reflection; interactive artwork; portfolio curation; peer critique.";"AI art education; problem-based learning; creative AI tools; hands-on workshops; collaborative design; AI integration; critical thinking; industry expert lectures"
5;"celestial objects; data analysis; theoretical modeling; AI-driven discovery; pattern identification; object classification; astronomical predictions.";"Spectral data classification; exoplanet transit signals; supernovae prediction; galaxy morphology categorization; cosmological simulation analysis; astronomical anomaly detection";"Astronomical images; time-series data; spectroscopic data; catalog data; simulation data; object classification; anomaly detection; exoplanet detection; variable star analysis; stellar properties; AI model validation; computer vision; time-series analysis; machine learning.";"AI bias; algorithmic transparency; responsible AI; data ownership; international data policies; research democratization; role shifts; public perception; accelerated discovery; misinterpreted results; job displacement.";"AI astronomy education; online courses; webinars; open educational resources; textbooks; research articles; data repositories";"astrophysics researchers; AI-driven analysis; astronomical data; AI model development; Python proficiency.";"astronomical AI; data analysis; machine learning; astrophysics research; Python proficiency; interdisciplinary teaching";"Semester-long curriculum; high-performance computing; astronomical datasets; AI software licenses; Python-ML assistants; interdisciplinary support; budget limitations; data access challenges; time constraints.";"AI fundamentals; astronomy applications; data preprocessing; model development; performance evaluation; results interpretation; ethical implications; solution design.";"AI-astronomy solutions; data preprocessing-visualization; machine learning implementation; research paper analysis; collaborative learning; problem-solving assessment; project methodology-findings.";"AI-driven astronomy; problem-solving; hands-on labs; collaborative research; practical AI tools; project-based learning; astronomical datasets."
6;"genetic engineering; drug development; diagnostics; biofuels; AI-driven acceleration; molecular interaction prediction; biological process optimization; data analysis; precision enhancement; cost reduction";"genomic variation; drug-target interaction; 3D protein structure; patient-specific treatment; fermentation optimization; biological insight.";"genomic sequences; protein structures; drug-target interactions; patient records; microscopy images; personalized therapies; structure-based design; risk stratification; automated analysis; biological context";"AI bias in healthcare; genomic data privacy; AI-driven diagnostics access; data protection regulations; intellectual property rights; automated treatment liability; biotech job displacement; healthcare delivery changes; AI transparency; data security; accelerated drug discovery; personalized therapies.";"Bioinformatics specialization; AI for medicine; machine learning for healthcare; sequence analysis; deep learning; drug discovery; NIH databases; PubMed Central; computational biology; GitHub repositories.";"AI-integrated biotechnology; molecular biology foundation; data analysis; AI tool application; predictive modeling; interdisciplinary collaboration.";"AI-integrated bioinformatics; biological dataset analysis; AI model development; Python/R programming; TensorFlow/PyTorch/scikit-learn expertise.";"Budget allocation; teaching assistants; AI/bioinformatics expertise; semester duration; domain-specific datasets; high-performance computing; AI/ML software; visualization tools; interdisciplinary collaboration; ethical review.";"AI fundamentals; biotechnology applications; method suitability; data analysis; ethical implications; solution design; research communication.";"AI-driven biotechnology; data interpretation; ethical implications; AI solution design; problem-based learning; project presentation; knowledge assessment; active participation.";"AI-biotechnology integration; problem-centered learning; real-world applications; hands-on analysis; research simulation; long-term impact."
7;"AI-driven predictive maintenance; electrical motor reliability; anomaly detection; Remaining Useful Life (RUL); sensor data analysis; downtime reduction; operational efficiency.";"AI-driven motor maintenance; fault classification; RUL prediction; proactive scheduling; energy efficiency; automated reporting.";"Sensor data; operational data; maintenance logs; motor specifications; AI algorithms; pattern detection; anomaly detection; time-series analysis; classification; regression; clustering; fault prediction.";"AI ethics; predictive maintenance bias; data privacy; regulatory compliance; AI explainability; job displacement; upskilling needs; AI misdiagnosis; sensor data reliability; operational transparency.";"Electrical machine drives; AI-based predictive maintenance; motor maintenance; electrical engineering; machine learning; deep learning; industrial electronics.";"electrical machine design; AI-driven solutions; motor maintenance; AI integration; decision-making; masters-level engineers";"Electrical machine theory; machine design expertise; AI application familiarity; pedagogical skills; electrical drives.";"Budget constraints; open-source tools; limited personnel; semester duration; simulated sensor data; MATLAB; Python; TensorFlow; PyTorch; Scikit-learn; cloud computing; university lab access; interdisciplinary support; IT infrastructure.";"AI fundamentals; predictive maintenance; electrical motors; data significance; anomaly detection; fault diagnosis; RUL prediction; ethical implications; sensor data analysis; AI-based solutions";"AI-predictive maintenance; electrical motor diagnostics; sensor data analysis; AI model development; fault detection; remaining useful life; case study; group project; comprehensive assessment";"AI-driven predictive maintenance; electrical motor failure prevention; AI integration in maintenance; hands-on Python analysis; AI model development; motor operation simulations; industry professional insights."
8;"mechanical systems design; AI-driven optimization; product development cycles; predictive performance analysis; innovative solutions";"Surrogate models; design optimization; predictive maintenance; automated design; material discovery; process parameter optimization.";"Motor performance; material properties; simulation results; CAD model data; manufacturing parameters; design specifications; maintenance logs; failure reports; surrogate models; optimization algorithms; predictive maintenance; performance prediction; geometric constraints; physical significance.";"AI bias; design automation; job displacement; intellectual property; liability; regulatory compliance; skill adaptation; design democratization; safety validation.";"Machine learning; artificial intelligence; engineering design; online courses; scientific papers; software documentation.";"Machine design; AI applications; mechanical engineering; AI-based solutions; AI model evaluation; collaborative AI adoption.";"Machine design; AI applications; Mechanical engineering; Academia; Mentoring.";"Budgetary allocation; personnel resources; semester timeframe; public datasets; software accessibility; hardware infrastructure; departmental collaboration.";"AI fundamentals; mechanical engineering applications; data preprocessing; model training; performance evaluation; ethical implications; problem-solving; critical evaluation.";"AI applications; Mechanical Engineering; Coding assignments; Group-based design; Problem-solving; Machine learning models; Project report; Exams; Class participation.";"AI-driven mechanical design; Problem-centered learning; Hands-on projects; Experiential activation; AI tool demonstrations; Industry expert lectures; Machine learning implementation; Design scenario simulations; AI integration in practices; Active learning methods."
9;"threat detection; AI-driven response; security automation; cyber threat prevention; data analysis";"malicious pattern identification; anomaly pinpointing; fraud prediction; behavioral biometrics; cyberattack deviation; vulnerability scanning; automated patching; SIEM enhancement; threat intelligence";"Network logs; System logs; User behavior; Security alerts; Structured data; Unstructured data; AI applications; Communication patterns; Suspicious behavior; Anomaly detection; Supervised learning; NLP; Threat intelligence; Time-series data; Recurrent neural networks.";"AI bias in security; data privacy risks; transparency challenges; GDPR compliance; AI liability; job displacement; autonomous security concerns; adversarial AI manipulation; real-time threat detection; cost barriers.";"OER Cybersecurity; AI Cybersecurity Textbooks; AI Security Courses; Cybersecurity Conferences; Ethical Hacking; Security Research Papers";"AI-powered cybersecurity; threat detection; incident response; vulnerability management; informed decision-making; security solutions; stakeholders.";"AI-driven cybersecurity; machine learning; deep learning; network security; cryptography; teaching experience.";"Budget-constrained resources; cybersecurity datasets; cloud-based AI training; interdisciplinary support; virtual lab environment.";"AI fundamentals; cybersecurity use cases; data significance; AI technique selection; model implementation; performance evaluation; ethical implications; limitations assessment; solution design; technical communication.";"AI-driven security solution; malware classification; anomaly detection; ethical-legal analysis; hands-on labs; group project; cybersecurity datasets";"cyberattack prevention; AI mitigation; malware identification; network intrusion detection; AI cybersecurity datasets; AI model implementation; AI-driven security simulations; traditional security complementation; AI future impact; cybersecurity ethics."
10;"energy production; renewable sources; grid optimization; sustainability; energy security.";"energy demand forecasting; renewable energy efficiency; grid fault prediction; equipment failure prediction; building energy management; energy storage control";"Energy data; Time-series analysis; Geospatial planning; Sensor monitoring; Predictive maintenance; Market forecasting; Renewable integration; Grid optimization; AI techniques.";"AI ethics; energy sector automation; data privacy; job displacement; algorithmic bias; energy access equity; cybersecurity risks; AI transparency; grid reliability; carbon emission reduction";"OER; MIT OpenCourseware; Stanford Engineering Everywhere; AI for Smart Energy Systems; Renewable and Efficient Electric Power Systems; Coursera; edX; Udacity; IEA reports; NREL publications; IEEE Xplore; ScienceDirect; AI in Energy webinars; IEEE Power & Energy Society General Meeting";"Energy engineering; AI-driven solutions; data-driven decisions; sustainable solutions; AI capabilities; energy management.";"AI-driven sustainable systems; energy engineering; renewable energy technologies; machine learning; grid operations; technical communication; academic research.";"software licenses; cloud computing; AI teaching assistants; energy datasets; Python environments; machine learning libraries; data analysis tools; interdisciplinary support; research collaborations; student projects";"AI-driven energy solutions; energy consumption prediction; renewable energy optimization; grid management; AI model implementation; ethical AI in energy; AI communication.";"energy datasets; AI solution design; machine learning algorithms; grid fault prediction; solar panel optimization.";"AI-driven energy optimization; renewable integration; demand prediction; case studies; data handling; practical AI models; Python-TensorFlow-scikit-learn; visualization; hands-on labs; simulations; ethical implications; industry insights."
